unique_paragraph_id,participant_id,unique_trial_id,RC,MW,regime
history_of_film_7.0,s10145,s10145_history_of_film_7.0,1,1,train_train
history_of_film_7.0,s10148,s10148_history_of_film_7.0,0,0,train_train
history_of_film_7.0,s10153,s10153_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10156,s10156_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10173,s10173_history_of_film_7.0,0,0,train_train
history_of_film_7.0,s10178,s10178_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10185,s10185_history_of_film_7.0,1,0,train_train
history_of_film_7.0,s10192,s10192_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10195,s10195_history_of_film_7.0,0,1,train_train
history_of_film_7.0,s10197,s10197_history_of_film_7.0,0,0,train_train
history_of_film_7.0,s10202,s10202_history_of_film_7.0,0,0,train_train
history_of_film_8.0,s10014,s10014_history_of_film_8.0,1,1,train_train
history_of_film_8.0,s10052,s10052_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10059,s10059_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10073,s10073_history_of_film_8.0,0,0,train_train
history_of_film_8.0,s10094,s10094_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10100,s10100_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10103,s10103_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10110,s10110_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10117,s10117_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10125,s10125_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10139,s10139_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10145,s10145_history_of_film_8.0,1,1,train_train
history_of_film_8.0,s10148,s10148_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10153,s10153_history_of_film_8.0,1,1,train_train
history_of_film_8.0,s10156,s10156_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10173,s10173_history_of_film_8.0,0,0,train_train
history_of_film_8.0,s10178,s10178_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10185,s10185_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10192,s10192_history_of_film_8.0,1,1,train_train
history_of_film_8.0,s10195,s10195_history_of_film_8.0,0,1,train_train
history_of_film_8.0,s10197,s10197_history_of_film_8.0,1,0,train_train
history_of_film_8.0,s10202,s10202_history_of_film_8.0,0,0,train_train
history_of_film_9.0,s10014,s10014_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10052,s10052_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10059,s10059_history_of_film_9.0,0,0,train_train
history_of_film_9.0,s10073,s10073_history_of_film_9.0,0,0,train_train
history_of_film_9.0,s10094,s10094_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10100,s10100_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10103,s10103_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10110,s10110_history_of_film_9.0,0,1,train_train
history_of_film_9.0,s10117,s10117_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10125,s10125_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10139,s10139_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10145,s10145_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10148,s10148_history_of_film_9.0,0,0,train_train
history_of_film_9.0,s10153,s10153_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10156,s10156_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10173,s10173_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10178,s10178_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10185,s10185_history_of_film_9.0,1,0,train_train
history_of_film_9.0,s10192,s10192_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10195,s10195_history_of_film_9.0,0,1,train_train
history_of_film_9.0,s10197,s10197_history_of_film_9.0,1,1,train_train
history_of_film_9.0,s10202,s10202_history_of_film_9.0,1,0,train_train
pluto_0.0,s10014,s10014_pluto_0.0,1,1,train_train
pluto_0.0,s10052,s10052_pluto_0.0,1,0,train_train
pluto_0.0,s10059,s10059_pluto_0.0,1,0,train_train
pluto_0.0,s10073,s10073_pluto_0.0,0,0,train_train
pluto_0.0,s10094,s10094_pluto_0.0,0,0,train_train
pluto_0.0,s10100,s10100_pluto_0.0,0,1,train_train
pluto_0.0,s10103,s10103_pluto_0.0,1,0,train_train
pluto_0.0,s10110,s10110_pluto_0.0,0,0,train_train
pluto_0.0,s10117,s10117_pluto_0.0,1,0,train_train
pluto_0.0,s10125,s10125_pluto_0.0,0,0,train_train
pluto_0.0,s10139,s10139_pluto_0.0,0,0,train_train
pluto_0.0,s10145,s10145_pluto_0.0,0,1,train_train
pluto_0.0,s10148,s10148_pluto_0.0,0,0,train_train
pluto_0.0,s10153,s10153_pluto_0.0,0,1,train_train
pluto_0.0,s10156,s10156_pluto_0.0,0,0,train_train
pluto_0.0,s10173,s10173_pluto_0.0,0,0,train_train
pluto_0.0,s10178,s10178_pluto_0.0,1,0,train_train
pluto_0.0,s10185,s10185_pluto_0.0,0,0,train_train
pluto_0.0,s10192,s10192_pluto_0.0,1,1,train_train
pluto_0.0,s10195,s10195_pluto_0.0,1,1,train_train
pluto_0.0,s10197,s10197_pluto_0.0,0,0,train_train
pluto_0.0,s10202,s10202_pluto_0.0,1,0,train_train
pluto_1.0,s10014,s10014_pluto_1.0,1,1,train_train
pluto_1.0,s10052,s10052_pluto_1.0,1,0,train_train
pluto_1.0,s10059,s10059_pluto_1.0,0,0,train_train
pluto_1.0,s10073,s10073_pluto_1.0,0,0,train_train
pluto_1.0,s10094,s10094_pluto_1.0,1,0,train_train
pluto_1.0,s10100,s10100_pluto_1.0,0,1,train_train
pluto_1.0,s10103,s10103_pluto_1.0,1,1,train_train
pluto_1.0,s10110,s10110_pluto_1.0,1,0,train_train
pluto_1.0,s10117,s10117_pluto_1.0,0,0,train_train
pluto_1.0,s10125,s10125_pluto_1.0,0,0,train_train
pluto_1.0,s10139,s10139_pluto_1.0,0,0,train_train
pluto_1.0,s10145,s10145_pluto_1.0,0,1,train_train
pluto_1.0,s10148,s10148_pluto_1.0,0,1,train_train
pluto_1.0,s10153,s10153_pluto_1.0,1,1,train_train
pluto_1.0,s10156,s10156_pluto_1.0,0,1,train_train
pluto_1.0,s10173,s10173_pluto_1.0,0,0,train_train
pluto_1.0,s10178,s10178_pluto_1.0,0,1,train_train
pluto_1.0,s10185,s10185_pluto_1.0,1,0,train_train
pluto_1.0,s10192,s10192_pluto_1.0,0,1,train_train
pluto_1.0,s10195,s10195_pluto_1.0,0,0,train_train
pluto_1.0,s10197,s10197_pluto_1.0,0,1,train_train
pluto_1.0,s10202,s10202_pluto_1.0,1,0,train_train
pluto_4.0,s10014,s10014_pluto_4.0,0,1,train_train
pluto_4.0,s10052,s10052_pluto_4.0,1,0,train_train
pluto_4.0,s10059,s10059_pluto_4.0,1,0,train_train
pluto_4.0,s10073,s10073_pluto_4.0,1,0,train_train
pluto_4.0,s10094,s10094_pluto_4.0,1,0,train_train
pluto_4.0,s10100,s10100_pluto_4.0,1,0,train_train
pluto_4.0,s10103,s10103_pluto_4.0,1,1,train_train
pluto_4.0,s10110,s10110_pluto_4.0,1,1,train_train
pluto_4.0,s10117,s10117_pluto_4.0,0,0,train_train
pluto_4.0,s10125,s10125_pluto_4.0,1,0,train_train
pluto_4.0,s10139,s10139_pluto_4.0,1,0,train_train
pluto_4.0,s10145,s10145_pluto_4.0,1,1,train_train
pluto_4.0,s10148,s10148_pluto_4.0,1,0,train_train
pluto_4.0,s10153,s10153_pluto_4.0,1,1,train_train
pluto_4.0,s10156,s10156_pluto_4.0,1,1,train_train
pluto_4.0,s10173,s10173_pluto_4.0,1,0,train_train
pluto_4.0,s10178,s10178_pluto_4.0,1,0,train_train
pluto_4.0,s10185,s10185_pluto_4.0,1,0,train_train
pluto_4.0,s10192,s10192_pluto_4.0,1,1,train_train
pluto_4.0,s10195,s10195_pluto_4.0,1,1,train_train
pluto_4.0,s10197,s10197_pluto_4.0,1,0,train_train
pluto_4.0,s10202,s10202_pluto_4.0,1,0,train_train
pluto_5.0,s10014,s10014_pluto_5.0,1,1,train_train
pluto_5.0,s10052,s10052_pluto_5.0,1,0,train_train
pluto_5.0,s10059,s10059_pluto_5.0,0,0,train_train
pluto_5.0,s10073,s10073_pluto_5.0,1,0,train_train
pluto_5.0,s10094,s10094_pluto_5.0,1,0,train_train
pluto_5.0,s10100,s10100_pluto_5.0,1,1,train_train
pluto_5.0,s10103,s10103_pluto_5.0,1,0,train_train
pluto_5.0,s10110,s10110_pluto_5.0,1,1,train_train
pluto_5.0,s10117,s10117_pluto_5.0,0,1,train_train
pluto_5.0,s10125,s10125_pluto_5.0,1,0,train_train
pluto_5.0,s10139,s10139_pluto_5.0,1,0,train_train
pluto_5.0,s10145,s10145_pluto_5.0,1,0,train_train
pluto_5.0,s10148,s10148_pluto_5.0,0,1,train_train
pluto_5.0,s10153,s10153_pluto_5.0,1,1,train_train
pluto_5.0,s10156,s10156_pluto_5.0,1,0,train_train
pluto_5.0,s10173,s10173_pluto_5.0,0,0,train_train
pluto_5.0,s10178,s10178_pluto_5.0,1,0,train_train
pluto_5.0,s10185,s10185_pluto_5.0,1,0,train_train
pluto_5.0,s10192,s10192_pluto_5.0,1,0,train_train
pluto_5.0,s10195,s10195_pluto_5.0,0,1,train_train
pluto_5.0,s10197,s10197_pluto_5.0,1,0,train_train
pluto_5.0,s10202,s10202_pluto_5.0,0,0,train_train
pluto_6.0,s10014,s10014_pluto_6.0,0,1,train_train
pluto_6.0,s10052,s10052_pluto_6.0,0,0,train_train
pluto_6.0,s10059,s10059_pluto_6.0,0,0,train_train
pluto_6.0,s10073,s10073_pluto_6.0,0,1,train_train
pluto_6.0,s10094,s10094_pluto_6.0,1,0,train_train
pluto_6.0,s10100,s10100_pluto_6.0,0,0,train_train
pluto_6.0,s10103,s10103_pluto_6.0,1,0,train_train
pluto_6.0,s10110,s10110_pluto_6.0,0,0,train_train
pluto_6.0,s10117,s10117_pluto_6.0,0,0,train_train
pluto_6.0,s10125,s10125_pluto_6.0,0,1,train_train
pluto_6.0,s10139,s10139_pluto_6.0,1,0,train_train
pluto_6.0,s10145,s10145_pluto_6.0,1,1,train_train
pluto_6.0,s10148,s10148_pluto_6.0,0,0,train_train
pluto_6.0,s10153,s10153_pluto_6.0,0,0,train_train
pluto_6.0,s10156,s10156_pluto_6.0,0,1,train_train
pluto_6.0,s10173,s10173_pluto_6.0,0,1,train_train
pluto_6.0,s10178,s10178_pluto_6.0,0,0,train_train
pluto_6.0,s10185,s10185_pluto_6.0,1,0,train_train
pluto_6.0,s10192,s10192_pluto_6.0,0,1,train_train
pluto_6.0,s10195,s10195_pluto_6.0,0,1,train_train
pluto_6.0,s10197,s10197_pluto_6.0,1,1,train_train
pluto_6.0,s10202,s10202_pluto_6.0,0,0,train_train
pluto_7.0,s10014,s10014_pluto_7.0,1,1,train_train
pluto_7.0,s10052,s10052_pluto_7.0,0,0,train_train
pluto_7.0,s10059,s10059_pluto_7.0,0,0,train_train
pluto_7.0,s10073,s10073_pluto_7.0,0,0,train_train
pluto_7.0,s10094,s10094_pluto_7.0,0,0,train_train
pluto_7.0,s10100,s10100_pluto_7.0,1,1,train_train
pluto_7.0,s10103,s10103_pluto_7.0,0,0,train_train
pluto_7.0,s10110,s10110_pluto_7.0,1,0,train_train
pluto_7.0,s10117,s10117_pluto_7.0,0,1,train_train
pluto_7.0,s10125,s10125_pluto_7.0,1,1,train_train
pluto_7.0,s10139,s10139_pluto_7.0,0,1,train_train
pluto_7.0,s10145,s10145_pluto_7.0,1,1,train_train
pluto_7.0,s10148,s10148_pluto_7.0,0,0,train_train
pluto_7.0,s10153,s10153_pluto_7.0,0,1,train_train
pluto_7.0,s10156,s10156_pluto_7.0,1,1,train_train
pluto_7.0,s10173,s10173_pluto_7.0,0,0,train_train
pluto_7.0,s10178,s10178_pluto_7.0,0,1,train_train
pluto_7.0,s10185,s10185_pluto_7.0,1,0,train_train
pluto_7.0,s10192,s10192_pluto_7.0,1,0,train_train
pluto_7.0,s10195,s10195_pluto_7.0,0,1,train_train
pluto_7.0,s10197,s10197_pluto_7.0,0,1,train_train
pluto_7.0,s10202,s10202_pluto_7.0,0,0,train_train
prisoners_dilemma_0.0,s10014,s10014_prisoners_dilemma_0.0,1,1,train_train
prisoners_dilemma_0.0,s10052,s10052_prisoners_dilemma_0.0,1,1,train_train
prisoners_dilemma_0.0,s10059,s10059_prisoners_dilemma_0.0,0,0,train_train
prisoners_dilemma_0.0,s10073,s10073_prisoners_dilemma_0.0,0,0,train_train
prisoners_dilemma_0.0,s10094,s10094_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10100,s10100_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10103,s10103_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10110,s10110_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10117,s10117_prisoners_dilemma_0.0,0,0,train_train
prisoners_dilemma_0.0,s10125,s10125_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10139,s10139_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10145,s10145_prisoners_dilemma_0.0,0,1,train_train
prisoners_dilemma_0.0,s10148,s10148_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10153,s10153_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10156,s10156_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10173,s10173_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10178,s10178_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10185,s10185_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_0.0,s10192,s10192_prisoners_dilemma_0.0,1,1,train_train
prisoners_dilemma_0.0,s10195,s10195_prisoners_dilemma_0.0,1,1,train_train
prisoners_dilemma_0.0,s10197,s10197_prisoners_dilemma_0.0,1,1,train_train
prisoners_dilemma_0.0,s10202,s10202_prisoners_dilemma_0.0,1,0,train_train
prisoners_dilemma_1.0,s10014,s10014_prisoners_dilemma_1.0,0,1,train_train
prisoners_dilemma_1.0,s10052,s10052_prisoners_dilemma_1.0,0,0,train_train
prisoners_dilemma_1.0,s10059,s10059_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10073,s10073_prisoners_dilemma_1.0,1,1,train_train
prisoners_dilemma_1.0,s10094,s10094_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10100,s10100_prisoners_dilemma_1.0,0,1,train_train
prisoners_dilemma_1.0,s10103,s10103_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10110,s10110_prisoners_dilemma_1.0,0,0,train_train
prisoners_dilemma_1.0,s10117,s10117_prisoners_dilemma_1.0,0,1,train_train
prisoners_dilemma_1.0,s10125,s10125_prisoners_dilemma_1.0,1,1,train_train
prisoners_dilemma_1.0,s10139,s10139_prisoners_dilemma_1.0,0,0,train_train
prisoners_dilemma_1.0,s10145,s10145_prisoners_dilemma_1.0,0,1,train_train
prisoners_dilemma_1.0,s10148,s10148_prisoners_dilemma_1.0,1,1,train_train
prisoners_dilemma_1.0,s10153,s10153_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10156,s10156_prisoners_dilemma_1.0,0,1,train_train
prisoners_dilemma_1.0,s10173,s10173_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10178,s10178_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10185,s10185_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_1.0,s10192,s10192_prisoners_dilemma_1.0,0,0,train_train
prisoners_dilemma_1.0,s10195,s10195_prisoners_dilemma_1.0,0,0,train_train
prisoners_dilemma_1.0,s10197,s10197_prisoners_dilemma_1.0,0,1,train_train
prisoners_dilemma_1.0,s10202,s10202_prisoners_dilemma_1.0,1,0,train_train
prisoners_dilemma_5.0,s10014,s10014_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10052,s10052_prisoners_dilemma_5.0,0,1,train_train
prisoners_dilemma_5.0,s10059,s10059_prisoners_dilemma_5.0,0,0,train_train
prisoners_dilemma_5.0,s10073,s10073_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10094,s10094_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10100,s10100_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10103,s10103_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10110,s10110_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10117,s10117_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10125,s10125_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10139,s10139_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10145,s10145_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10148,s10148_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10153,s10153_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10156,s10156_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10173,s10173_prisoners_dilemma_5.0,0,0,train_train
prisoners_dilemma_5.0,s10178,s10178_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10185,s10185_prisoners_dilemma_5.0,1,0,train_train
prisoners_dilemma_5.0,s10192,s10192_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10195,s10195_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10197,s10197_prisoners_dilemma_5.0,1,1,train_train
prisoners_dilemma_5.0,s10202,s10202_prisoners_dilemma_5.0,0,0,train_train
prisoners_dilemma_7.0,s10014,s10014_prisoners_dilemma_7.0,1,1,train_train
prisoners_dilemma_7.0,s10052,s10052_prisoners_dilemma_7.0,0,0,train_train
prisoners_dilemma_7.0,s10059,s10059_prisoners_dilemma_7.0,0,0,train_train
prisoners_dilemma_7.0,s10073,s10073_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10094,s10094_prisoners_dilemma_7.0,0,0,train_train
prisoners_dilemma_7.0,s10100,s10100_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10103,s10103_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10110,s10110_prisoners_dilemma_7.0,1,1,train_train
prisoners_dilemma_7.0,s10117,s10117_prisoners_dilemma_7.0,0,1,train_train
prisoners_dilemma_7.0,s10125,s10125_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10139,s10139_prisoners_dilemma_7.0,1,1,train_train
prisoners_dilemma_7.0,s10145,s10145_prisoners_dilemma_7.0,1,1,train_train
prisoners_dilemma_7.0,s10148,s10148_prisoners_dilemma_7.0,0,0,train_train
prisoners_dilemma_7.0,s10153,s10153_prisoners_dilemma_7.0,0,1,train_train
prisoners_dilemma_7.0,s10156,s10156_prisoners_dilemma_7.0,0,1,train_train
prisoners_dilemma_7.0,s10173,s10173_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10178,s10178_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10185,s10185_prisoners_dilemma_7.0,1,0,train_train
prisoners_dilemma_7.0,s10192,s10192_prisoners_dilemma_7.0,0,1,train_train
prisoners_dilemma_7.0,s10195,s10195_prisoners_dilemma_7.0,1,1,train_train
prisoners_dilemma_7.0,s10197,s10197_prisoners_dilemma_7.0,0,0,train_train
prisoners_dilemma_7.0,s10202,s10202_prisoners_dilemma_7.0,1,0,train_train
serena_williams_0.0,s10014,s10014_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10052,s10052_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10059,s10059_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10073,s10073_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10094,s10094_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10100,s10100_serena_williams_0.0,1,1,train_train
serena_williams_0.0,s10103,s10103_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10110,s10110_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10117,s10117_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10125,s10125_serena_williams_0.0,1,1,train_train
serena_williams_0.0,s10139,s10139_serena_williams_0.0,0,1,train_train
serena_williams_0.0,s10145,s10145_serena_williams_0.0,0,0,train_train
serena_williams_0.0,s10148,s10148_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10153,s10153_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10156,s10156_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10173,s10173_serena_williams_0.0,0,0,train_train
serena_williams_0.0,s10178,s10178_serena_williams_0.0,0,0,train_train
serena_williams_0.0,s10185,s10185_serena_williams_0.0,1,0,train_train
serena_williams_0.0,s10192,s10192_serena_williams_0.0,1,1,train_train
serena_williams_0.0,s10195,s10195_serena_williams_0.0,1,1,train_train
serena_williams_0.0,s10197,s10197_serena_williams_0.0,0,1,train_train
serena_williams_0.0,s10202,s10202_serena_williams_0.0,1,0,train_train
serena_williams_1.0,s10014,s10014_serena_williams_1.0,0,1,train_train
serena_williams_1.0,s10052,s10052_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10059,s10059_serena_williams_1.0,0,0,train_train
serena_williams_1.0,s10073,s10073_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10094,s10094_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10100,s10100_serena_williams_1.0,1,1,train_train
serena_williams_1.0,s10103,s10103_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10110,s10110_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10117,s10117_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10125,s10125_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10139,s10139_serena_williams_1.0,1,1,train_train
serena_williams_1.0,s10145,s10145_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10148,s10148_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10153,s10153_serena_williams_1.0,0,1,train_train
serena_williams_1.0,s10156,s10156_serena_williams_1.0,1,1,train_train
serena_williams_1.0,s10173,s10173_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10178,s10178_serena_williams_1.0,0,0,train_train
serena_williams_1.0,s10185,s10185_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10192,s10192_serena_williams_1.0,1,0,train_train
serena_williams_1.0,s10195,s10195_serena_williams_1.0,0,1,train_train
serena_williams_1.0,s10197,s10197_serena_williams_1.0,0,1,train_train
serena_williams_1.0,s10202,s10202_serena_williams_1.0,0,1,train_train
serena_williams_2.0,s10014,s10014_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10052,s10052_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10059,s10059_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10073,s10073_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10094,s10094_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10100,s10100_serena_williams_2.0,1,1,train_train
serena_williams_2.0,s10103,s10103_serena_williams_2.0,0,0,train_train
serena_williams_2.0,s10110,s10110_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10117,s10117_serena_williams_2.0,1,1,train_train
serena_williams_2.0,s10125,s10125_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10139,s10139_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10145,s10145_serena_williams_2.0,0,1,train_train
serena_williams_2.0,s10148,s10148_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10153,s10153_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10156,s10156_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10173,s10173_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10178,s10178_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10185,s10185_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10192,s10192_serena_williams_2.0,1,1,train_train
serena_williams_2.0,s10195,s10195_serena_williams_2.0,1,1,train_train
serena_williams_2.0,s10197,s10197_serena_williams_2.0,1,0,train_train
serena_williams_2.0,s10202,s10202_serena_williams_2.0,1,0,train_train
serena_williams_5.0,s10014,s10014_serena_williams_5.0,0,1,train_train
serena_williams_5.0,s10052,s10052_serena_williams_5.0,0,0,train_train
serena_williams_5.0,s10059,s10059_serena_williams_5.0,0,0,train_train
serena_williams_5.0,s10073,s10073_serena_williams_5.0,1,0,train_train
serena_williams_5.0,s10094,s10094_serena_williams_5.0,0,0,train_train
serena_williams_5.0,s10100,s10100_serena_williams_5.0,0,1,train_train
serena_williams_5.0,s10103,s10103_serena_williams_5.0,0,1,train_train
serena_williams_5.0,s10110,s10110_serena_williams_5.0,0,0,train_train
